key,value,comment
input_industry_metal_aluminium_production,0,See etdataset-public/source_analyses/NO_norway/2019/industry/input_industry_metal_aluminium.xlsx
industry_final_demand_for_metal_steel_coal_industry_steel_blastfurnace_bof_parent_share,0,Derived from Eurostat
industry_final_demand_for_metal_steel_cokes_industry_steel_blastfurnace_bof_parent_share,0,Derived from Eurostat
industry_final_demand_for_metal_steel_crude_oil_industry_steel_blastfurnace_bof_parent_share,0,Derived from Eurostat
industry_final_demand_for_metal_steel_electricity_industry_steel_blastfurnace_bof_parent_share,0,Derived from Eurostat
industry_final_demand_for_metal_steel_network_gas_industry_steel_blastfurnace_bof_parent_share,0,Derived from Eurostat
industry_final_demand_for_metal_steel_steam_hot_water_industry_steel_blastfurnace_bof_parent_share,0,Derived from Eurostat
industry_final_demand_for_metal_steel_wood_pellets_industry_steel_blastfurnace_bof_parent_share,0,Derived from Eurostat
input_industry_steel_blastfurnace_bof_share,0,See etdataset-public/source_analyses/NO_norway/2019/industry/input_industry_metal_steel.xlsx
input_industry_metal_steel_production,0.621,See etdataset-public/source_analyses/NO_norway/2019/industry/input_industry_metal_steel.xlsx
input_industry_chemical_fertilizers_hydrogen_non_energetic_demand,0,See etdataset-public/source_analyses/NO_norway/2019/industry/input_industry_chemical_fertilizers.xlsx
industry_aluminium_burner_network_gas_industry_aluminium_electrolysis_current_electricity_parent_share,1,All processes asusmed to be current electrolysis
industry_aluminium_burner_network_gas_industry_aluminium_smeltoven_electricity_parent_share,0,All processes asusmed to be current electrolysis
industry_final_demand_for_metal_aluminium_electricity_industry_aluminium_electrolysis_current_electricity_parent_share,1,All processes asusmed to be current electrolysis
industry_final_demand_for_metal_aluminium_electricity_industry_aluminium_smeltoven_electricity_parent_share,0,All processes asusmed to be current electrolysis
input_industry_aluminium_electrolysis_current_electricity_share,1,All processes asusmed to be current electrolysis
input_industry_aluminium_smeltoven_electricity_share,0,All processes asusmed to be current electrolysis
industry_final_demand_for_other_food_electricity_industry_other_food_heater_electricity_parent_share,0,Assumption all to useful demand
industry_final_demand_for_other_food_electricity_industry_useful_demand_for_other_food_electricity_parent_share,1,Assumption all to useful demand
industry_chp_turbine_hydrogen_demand,0,Assumption no hydrogen
industry_heat_burner_hydrogen_demand,0,Assumption no hydrogen
industry_final_demand_for_other_paper_electricity_industry_other_paper_heater_electricity_parent_share,0,Assumption all to useful demand
industry_final_demand_for_other_paper_electricity_industry_useful_demand_for_other_paper_electricity_parent_share,1,Assumption all to useful demand
input_industry_chemical_refineries_coal_non_energetic_demand,0,No non-energetic demand assumed
input_industry_chemical_refineries_network_gas_non_energetic_demand,0,No non-energetic demand assumed
input_industry_chemical_refineries_wood_pellets_non_energetic_demand,0,No non-energetic demand assumed
