Key,Value,Source
country,de,
base_year,2015,
chemical_other_electricity,1,
chemicals_other_heater_electricity,0,
chemicals_other_heatpump_water_water,0,
chemicals_other_steam_recompression_electricity,0,
detailed_analysis,yes,
fertilizers_energetic_final_demand_coal,0,based on NL/2015 values
fertilizers_energetic_final_demand_network_gas,29483,scaled up by (3;438 / 2;717)
fertilizers_energetic_final_demand_crude_oil,0,i.e. the ratio of production capacities in 2013
fertilizers_energetic_final_demand_wood_pellets,0,based on CEPS study NO ENTR/2008/006 LOT 4
fertilizers_energetic_final_demand_heat,0,
fertilizers_energetic_final_demand_electricity,3416,
fertilizers_non_energetic_final_demand_coal,0,
fertilizers_non_energetic_final_demand_network_gas,87816,
fertilizers_non_energetic_final_demand_crude_oil,0,
industry_chemicals_fertilizers_capture_potential_combustion_co2,0.85,See source_analyses/nl/2015/4b_chemical_industry/4b_chemical_industry_carbon_capture.xlsx
industry_chemicals_fertilizers_combustion_emitted_co2,0.15,See source_analyses/nl/2015/4b_chemical_industry/4b_chemical_industry_carbon_capture.xlsx
industry_chemicals_fertilizers_captured_combustion_co2,0,See source_analyses/nl/2015/4b_chemical_industry/4b_chemical_industry_carbon_capture.xlsx
industry_chemicals_fertilizers_potential_emitted_combustion_co2,1,See source_analyses/nl/2015/4b_chemical_industry/4b_chemical_industry_carbon_capture.xlsx
industry_chemicals_fertilizers_capture_potential_processes_co2,1,See source_analyses/nl/2015/4b_chemical_industry/4b_chemical_industry_carbon_capture.xlsx
industry_chemicals_fertilizers_processes_emitted_co2,0,See source_analyses/nl/2015/4b_chemical_industry/4b_chemical_industry_carbon_capture.xlsx
industry_chemicals_fertilizers_captured_processes_co2,0,See source_analyses/nl/2015/4b_chemical_industry/4b_chemical_industry_carbon_capture.xlsx
industry_chemicals_fertilizers_potential_emitted_processes_co2,1,See source_analyses/nl/2015/4b_chemical_industry/4b_chemical_industry_carbon_capture.xlsx
fertilizers_other_utilisation,0,
