Key,Value,Source
country,nl,
base_year,2013,
transport_percentage_of_gasoline_mix_delivered_to_cars,0.989741779,CBS (source_analyses/eu/2013/8_transport/)
transport_percentage_of_diesel_mix_delivered_to_cars,0.238437332,CBS (source_analyses/eu/2013/8_transport/)
transport_percentage_of_electricity_mix_delivered_to_cars,0.954029732,CBS (source_analyses/eu/2013/8_transport/)
transport_road_lng,0.188,NVGA (source_analyses/eu/2013/8_transport/)
transport_percentage_of_compressed_network_gas_mix_delivered_to_cars,0.2849,NVGA (source_analyses/eu/2013/8_transport/)
transport_road_bio_lng,0,Value is 0 TJ
transport_shipping_lng_ship_type,0,Value is 0 TJ
transport_shipping_bio_lng_ship_type,0,Value is 0 TJ
