key,value,comment
input_share_mixer_gas_fuel_bio_oil,0,Assumption
input_share_mixer_gas_fuel_oil,0,Assumption
input_share_mixer_gas_fuel_network_gas,1,Assumption
energy_extraction_uranium_oxide_demand,0,No data available in the energy balance; set to 0
input_energy_chp_combined_cycle_mt_network_gas_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_chp_local_engine_ht_biogas_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_chp_local_engine_ht_network_gas_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_chp_local_engine_mt_biogas_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_chp_local_engine_mt_network_gas_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_chp_local_ht_wood_pellets_production,41.018,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_chp_local_mt_wood_pellets_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_chp_supercritical_ht_waste_mix_production,20.585,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_chp_supercritical_mt_waste_mix_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_chp_ultra_supercritical_cofiring_ht_coal_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_chp_ultra_supercritical_cofiring_mt_coal_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_chp_ultra_supercritical_ht_coal_production,48.636,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_chp_ultra_supercritical_ht_lignite_production,16069.565,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_chp_ultra_supercritical_mt_coal_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_chp_ultra_supercritical_mt_lignite_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
agriculture_chp_engine_biogas_full_load_hours,4200,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
agriculture_chp_engine_network_gas_dispatchable_full_load_hours,3920,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
agriculture_chp_wood_pellets_full_load_hours,6500,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
energy_chp_coal_gas_full_load_hours,5320,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_combined_cycle_network_gas_full_load_hours,4589.25,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_local_engine_biogas_full_load_hours,8500,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_local_engine_network_gas_full_load_hours,4589.25,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_local_wood_pellets_full_load_hours,2225.39,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_supercritical_waste_mix_full_load_hours,2225.39,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_ultra_supercritical_coal_full_load_hours,2225.39,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_ultra_supercritical_cofiring_coal_full_load_hours,5350,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_ultra_supercritical_lignite_full_load_hours,2225.39,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
industry_chp_combined_cycle_gas_power_fuelmix_full_load_hours,4589.25,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
industry_chp_engine_gas_power_fuelmix_full_load_hours,4589.25,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
industry_chp_turbine_gas_power_fuelmix_full_load_hours,4568.86,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
industry_chp_turbine_hydrogen_full_load_hours,8300,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
industry_chp_ultra_supercritical_coal_full_load_hours,2225.39,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
industry_chp_wood_pellets_full_load_hours,2225.39,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_agriculture_chp_engine_biogas_steam_hot_water_output_conversion,40,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_agriculture_chp_engine_network_gas_dispatchable_steam_hot_water_output_conversion,40,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_agriculture_chp_wood_pellets_steam_hot_water_output_conversion,40,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_combined_cycle_network_gas_steam_hot_water_output_conversion,40.3,Derived from energy balance; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_local_engine_biogas_steam_hot_water_output_conversion,40,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_local_engine_network_gas_steam_hot_water_output_conversion,40,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_local_wood_pellets_steam_hot_water_output_conversion,67.4,Derived from energy balance; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_supercritical_waste_mix_steam_hot_water_output_conversion,40,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_ultra_supercritical_coal_steam_hot_water_output_conversion,70.1,Derived from energy balance; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_ultra_supercritical_cofiring_coal_steam_hot_water_output_conversion,40,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_ultra_supercritical_lignite_steam_hot_water_output_conversion,5.3,Derived from energy balance; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_industry_chp_combined_cycle_gas_power_fuelmix_steam_hot_water_output_conversion,40,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_industry_chp_engine_gas_power_fuelmix_steam_hot_water_output_conversion,40,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_industry_chp_turbine_gas_power_fuelmix_steam_hot_water_output_conversion,40,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_industry_chp_turbine_hydrogen_steam_hot_water_output_conversion,40,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_industry_chp_ultra_supercritical_coal_steam_hot_water_output_conversion,40,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_industry_chp_wood_pellets_steam_hot_water_output_conversion,40,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
agriculture_chp_engine_network_gas_dispatchable_demand,0,Derived from energy balance; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
agriculture_chp_engine_biogas_demand,0,Derived from energy balance; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
agriculture_chp_wood_pellets_demand,0,Derived from energy balance; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
industry_chp_combined_cycle_gas_power_fuelmix_demand,0,Derived from energy balance; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
industry_chp_engine_gas_power_fuelmix_demand,0,Derived from energy balance; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
industry_chp_turbine_gas_power_fuelmix_demand,0,Derived from energy balance; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
industry_chp_ultra_supercritical_coal_demand,0,Derived from energy balance; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
industry_chp_wood_pellets_demand,0,Derived from energy balance; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_heat_burner_coal_full_load_hours,6000,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_heat_burner_crude_oil_full_load_hours,6000,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_heat_burner_network_gas_full_load_hours,6000,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_heat_burner_waste_mix_full_load_hours,6000,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_heat_burner_wood_pellets_full_load_hours,6000,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_heat_heatpump_water_water_electricity_full_load_hours,6000,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_heat_solar_solar_thermal_full_load_hours,795.05,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
industry_heat_burner_coal_full_load_hours,6000,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
industry_heat_burner_crude_oil_full_load_hours,6000,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
industry_heat_burner_hydrogen_full_load_hours,7900,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
industry_heat_burner_lignite_full_load_hours,6000,Full load hours assumed from EU27 dataset; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_heat_boiler_electricity_steam_hot_water_output_conversion,85,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_heat_burner_coal_steam_hot_water_output_conversion,74.8,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_heat_burner_crude_oil_steam_hot_water_output_conversion,82.7,Derived from energy balance; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_heat_burner_hydrogen_steam_hot_water_output_conversion,85,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_heat_burner_network_gas_steam_hot_water_output_conversion,92.7,Derived from energy balance; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_heat_burner_waste_mix_steam_hot_water_output_conversion,85,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_heat_burner_wood_pellets_steam_hot_water_output_conversion,80.3,Derived from energy balance; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_industry_heat_burner_coal_steam_hot_water_output_conversion,85,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_industry_heat_burner_crude_oil_steam_hot_water_output_conversion,85,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_industry_heat_burner_hydrogen_steam_hot_water_output_conversion,85,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_industry_heat_burner_lignite_steam_hot_water_output_conversion,85,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_heat_boiler_ht_electricity_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_heat_boiler_lt_electricity_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_heat_boiler_mt_electricity_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_heat_burner_ht_coal_production,119.152,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_heat_burner_ht_crude_oil_production,2070.568,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_heat_burner_ht_hydrogen_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_heat_burner_ht_network_gas_production,16655.473,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_heat_burner_ht_waste_mix_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_heat_burner_ht_wood_pellets_production,148,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_heat_burner_lt_hydrogen_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_heat_burner_mt_coal_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_heat_burner_mt_crude_oil_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_heat_burner_mt_hydrogen_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_heat_burner_mt_network_gas_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_heat_burner_mt_waste_mix_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_heat_burner_mt_wood_pellets_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_heat_heatpump_water_water_ht_electricity_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_heat_heatpump_water_water_lt_electricity_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
input_energy_heat_heatpump_water_water_mt_electricity_production,0,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
