key,share
industry_final_demand_for_other_minerals_wood_pellets,0.00000000000000E+00
industry_final_demand_for_other_transport_equipment_wood_pellets,0.00000000000000E+00
industry_final_demand_for_other_machinery_wood_pellets,0.00000000000000E+00
industry_final_demand_for_other_mining_wood_pellets,0.00000000000000E+00
industry_final_demand_for_other_food_wood_pellets,0.00000000000000E+00
industry_final_demand_for_other_paper_wood_pellets,0.00000000000000E+00
industry_final_demand_for_other_wood_products_wood_pellets,1.46933992978628E-01
industry_final_demand_for_other_construction_wood_pellets,-2.75651447220661E-02
industry_final_demand_for_other_textile_wood_pellets,0.00000000000000E+00
industry_final_demand_for_other_non_specified_wood_pellets,8.80631151743438E-01
