nrg_bal,Total,Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,Brown coal briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat and peat products,Oil shale and oil sands,Crude oil,Natural gas liquids,Refinery feedstocks,Additives and oxygenates (excluding biofuel portion),Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases,Motor gasoline (excluding biofuel portion),Aviation gasoline,Gasoline-type jet fuel,Kerosene-type jet fuel (excluding biofuel portion),Other kerosene,Naphtha,Gas oil and diesel oil (excluding biofuel portion),Fuel oil,White spirit and special boiling point industrial spirits,Lubricants,Bitumen,Petroleum coke,Paraffin waxes,Other oil products,Natural gas,Hydro,"Tide, wave, ocean",Wind,Solar photovoltaic,Solar thermal,Geothermal,Primary solid biofuels,Charcoal,Biogases,Renewable municipal waste,Pure biogasoline,Blended biogasoline,Pure biodiesels,Blended biodiesels,Pure bio jet kerosene,Blended bio jet kerosene,Other liquid biofuels,Ambient heat (heat pumps),Industrial waste (non-renewable),Non-renewable municipal waste,Nuclear heat,Heat,Electricity
Primary production,1113603.604,0.0,58065.154,34825.382,0.0,466516.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442.5,0.0,0.0,3239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7223.818,7228.904,0.0,2520.05,8321.666,767.306,0.0,141092.417,0.0,24331.895,3825.481,2512.08,0.0,9191.466,0.0,0.0,0.0,0.0,8489.332,12498.96,2550.32,316028.216,932.929,0.0
Recovered and recycled products,3741.013,0.0,0.0,2851.787,0.0,221.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imports,1006607.346,2372.676,64299.694,36233.64,0.0,880.336,0.0,5833.252,0.0,9582.832,4208.071,0.0,0.0,0.0,0.0,0.0,0.0,328865.0,0.0,0.0,158.0,0.0,0.0,0.0,9198.0,24465.46,131.37,0.0,10998.2,85.6,3052.0,90982.926,0.0,683.281,7757.249,12901.953,275.8,763.667,6325.69,329518.39,0.0,0.0,0.0,0.0,0.0,0.0,7411.119,0.0,0.0,0.0,1904.823,324.0,3657.524,3996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.427,39694.367
Exports,270455.058,80.067,24928.792,14879.644,0.0,11790.844,0.0,15753.974,0.0,159.048,2572.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6351.0,24822.62,0.0,0.0,346.4,0.0,1264.4,34365.6,4700.5,0.0,2612.545,15032.182,39.4,401.93,3771.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12539.015,0.0,0.0,0.0,498.852,1080.0,3956.891,1591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.085,86842.141
Change in stock,-53349.102,-600.193,-4949.534,-4338.465,0.0,-9831.749,0.0,49.954,0.0,180.163,-66.82,0.0,0.0,0.0,0.0,0.0,0.0,1190.0,0.0,80.4,68.872,0.0,0.0,0.0,0.0,1116.125,0.0,0.0,-606.2,0.0,566.8,171.828,316.0,0.0,40.193,120.579,0.0,0.0,-196.45,-36453.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.051,27.0,-49.099,-74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross available energy,1800147.803,1692.416,92486.521,54692.699,0.0,445995.765,0.0,-9870.769,0.0,9603.946,1568.964,0.0,0.0,0.0,0.0,0.0,0.0,333497.5,0.0,80.4,3465.872,0.0,0.0,0.0,2847.0,758.965,131.37,0.0,10045.6,85.6,2354.4,56789.154,-4384.5,683.281,5184.897,-2009.65,236.4,361.737,3025.33,300288.755,7228.904,0.0,2520.05,8321.666,767.306,0.0,135964.521,0.0,24331.895,3825.481,3807.0,-729.0,8843.0,2331.0,0.0,0.0,0.0,8489.332,12498.96,2550.32,316028.216,905.271,-47147.774
International maritime bunkers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross inland consumption,1800147.803,1692.416,92486.521,54692.699,0.0,445995.765,0.0,-9870.769,0.0,9603.946,1568.964,0.0,0.0,0.0,0.0,0.0,0.0,333497.5,0.0,80.4,3465.872,0.0,0.0,0.0,2847.0,758.965,131.37,0.0,10045.6,85.6,2354.4,56789.154,-4384.5,683.281,5184.897,-2009.65,236.4,361.737,3025.33,300288.755,7228.904,0.0,2520.05,8321.666,767.306,0.0,135964.521,0.0,24331.895,3825.481,3807.0,-729.0,8843.0,2331.0,0.0,0.0,0.0,8489.332,12498.96,2550.32,316028.216,905.271,-47147.774
International aviation,17536.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17536.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total energy supply,1782611.303,1692.416,92486.521,54692.699,0.0,445995.765,0.0,-9870.769,0.0,9603.946,1568.964,0.0,0.0,0.0,0.0,0.0,0.0,333497.5,0.0,80.4,3465.872,0.0,0.0,0.0,2847.0,758.965,131.37,0.0,-7490.9,85.6,2354.4,56789.154,-4384.5,683.281,5184.897,-2009.65,236.4,361.737,3025.33,300288.755,7228.904,0.0,2520.05,8321.666,767.306,0.0,135964.521,0.0,24331.895,3825.481,3807.0,-729.0,8843.0,2331.0,0.0,0.0,0.0,8489.332,12498.96,2550.32,316028.216,905.271,-47147.774
