PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB/peat briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural Gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel,Other Kerosene,Gas/diesel oil,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production,x,x,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.40556902000000E+06,x,4.74397100000000E+04,1.56639900000000E+04,0.00000000000000E+00,1.16812600000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,3.55681600000000E+04,2.79466400000000E+04,4.58272100000000E+04,1.24516300000000E+04,c,4.35490000000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,4.27167900000000E+04,3.74470000000000E+02,4.94920000000000E+02,9.14560000000000E+02,1.06881000000000E+03,0.00000000000000E+00,1.79384300000000E+04,5.29300000000000E+02,0.00000000000000E+00,0.00000000000000E+00,2.70973389000000E+06,1.58187180000000E+05
Imports,x,x,7.50082000000000E+03,1.16863010000000E+05,4.94161560000000E+05,0.00000000000000E+00,7.59990000000000E+02,2.93100000000000E+01,4.58848000000000E+03,0.00000000000000E+00,3.81292000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,7.82547250000000E+05,x,2.12786909000000E+06,3.43639980000000E+05,0.00000000000000E+00,5.56932700000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.01383990000000E+05,5.26371990000000E+05,4.40000000000000E+01,0.00000000000000E+00,1.13778010000000E+05,9.33100000000000E+03,8.02754380000000E+05,1.32828001000000E+06,7.64807990000000E+05,3.21768100000000E+04,4.59060000000000E+04,1.42740200000000E+04,3.96000000000000E+03,0.00000000000000E+00,6.67599900000000E+04,0.00000000000000E+00,5.50493000000000E+03,4.32517000000000E+03,1.89403700000000E+04,0.00000000000000E+00,5.48098000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.91998000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.15782440000000E+05,0.00000000000000E+00,7.89924774000000E+06,3.18462700000000E+04
Exports,x,x,-5.65490000000000E+03,-6.88100000000000E+02,-3.33249390000000E+05,0.00000000000000E+00,0.00000000000000E+00,-2.93100000000000E+01,-1.42520000000000E+02,0.00000000000000E+00,-6.70390000000000E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.81206416000000E+06,x,-2.07522100000000E+04,-7.48010000000000E+02,0.00000000000000E+00,-5.92101900000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-7.24500200000000E+04,-8.55491980000000E+05,-2.24400000000000E+03,0.00000000000000E+00,-2.49098980000000E+05,-1.87049900000000E+04,-1.27126919000000E+06,-1.12759999000000E+06,-5.35259980000000E+05,-2.44596200000000E+04,-6.66960200000000E+04,-1.84470000000000E+04,-5.20001000000000E+03,0.00000000000000E+00,-6.16799800000000E+04,0.00000000000000E+00,-1.28677000000000E+03,-1.01182000000000E+03,-8.51537000000000E+03,0.00000000000000E+00,c,-3.27079900000000E+04,0.00000000000000E+00,0.00000000000000E+00,-1.83001000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-5.41753500000000E+04,0.00000000000000E+00,-6.64133825000000E+06,-4.43401400000000E+04
International marine bunkers,x,x,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,x,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-6.67542100000000E+04,-4.93479990000000E+05,0.00000000000000E+00,0.00000000000000E+00,-1.55401000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-5.61788220000000E+05,0.00000000000000E+00
International aviation bunkers,x,x,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,x,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.41427010000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.41427010000000E+05,0.00000000000000E+00
Stock changes,x,x,5.56720000000000E+02,2.52305000000000E+03,5.05117700000000E+04,0.00000000000000E+00,3.99800000000000E+01,0.00000000000000E+00,2.30852000000000E+03,0.00000000000000E+00,4.19100000000000E+01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-3.56569000000000E+03,x,1.15716900000000E+04,-3.12398000000000E+03,0.00000000000000E+00,-2.76330000000000E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-8.73990000000000E+02,-8.31599000000000E+03,8.80100000000000E+01,0.00000000000000E+00,4.30000000000000E+01,1.63398000000000E+03,-1.55916000000000E+04,-9.76002000000000E+03,-1.18800000000000E+03,5.66810000000000E+02,1.38600000000000E+03,-3.50980000000000E+02,-8.00100000000000E+01,0.00000000000000E+00,-3.59980000000000E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-2.70010000000000E+02,-2.03499000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.54798600000000E+04,-2.30500000000000E+03
Total primary energy supply,0.00000000000000E+00,0.00000000000000E+00,2.40260000000000E+03,1.18697920000000E+05,2.13863853783784E+05,0.00000000000000E+00,8.00020000000000E+02,0.00000000000000E+00,6.75449000000000E+03,0.00000000000000E+00,3.18439000000000E+03,0.00000000000000E+00,0.00000000000000E+00,-1.97950000000001E+02,-8.11049000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.36441453092307E+06,0.00000000000000E+00,2.16612831000000E+06,3.55432030000000E+05,3.99999999863212E-02,7.88797000000000E+03,0.00000000000000E+00,-8.21969608585582E+03,0.00000000000000E+00,2.80600000000000E+04,-3.37435990000000E+05,-2.11199000000000E+03,0.00000000000000E+00,-2.76704980000000E+05,-7.74007000000000E+03,-5.50950302602843E+05,-3.02541774695472E+05,2.28360000000000E+05,8.28405000000000E+03,-2.09579900000000E+04,-4.52400000000000E+03,-1.32002000000000E+03,0.00000000000000E+00,4.95710730866965E+03,0.00000000000000E+00,2.98000000000000E+04,2.34133333333333E+04,5.64028837837838E+04,9.79959978944451E+03,5.21102000000000E+03,8.80601000000000E+03,0.00000000000000E+00,0.00000000000000E+00,9.00200000000000E+01,0.00000000000000E+00,0.00000000000000E+00,4.27167900000000E+04,3.74470000000000E+02,4.94920000000000E+02,9.14570000000000E+02,1.06881000000000E+03,0.00000000000000E+00,1.79384300000000E+04,5.29290000000000E+02,6.16429499999999E+04,-1.35936662583461E+04,3.23402148927956E+06,1.43388400000000E+05
Transfers,x,x,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,x,-5.76451000000000E+03,5.80801000000000E+03,-3.39968200000000E+04,-6.00391000000000E+03,0.00000000000000E+00,1.44045200000000E+04,0.00000000000000E+00,1.10400100000000E+04,2.03895990000000E+05,0.00000000000000E+00,0.00000000000000E+00,-2.96702000000000E+03,-1.11370100000000E+04,-2.55600000000000E+02,-4.21200000000000E+04,-1.17039980000000E+05,4.35800000000000E+01,2.18400000000000E+03,-7.80000000000000E+01,8.00100000000000E+01,0.00000000000000E+00,-5.15998000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.29332800000000E+04,0.00000000000000E+00
Statistical differences,x,x,0.00000000000000E+00,0.00000000000000E+00,1.38000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,x,0.00000000000000E+00,7.65598000000000E+03,-9.81658000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.18800000000000E+03,0.00000000000000E+00,-1.35700000000000E+04,-8.80100000000000E+01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,3.56900000000000E+03,-2.55600000000000E+02,0.00000000000000E+00,-1.06039900000000E+04,1.08999000000000E+03,-1.30201000000000E+03,7.80000000000000E+01,0.00000000000000E+00,0.00000000000000E+00,2.80010000000000E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-2.17738300000000E+04,0.00000000000000E+00
