key,value,comment
households_final_demand_coal_households_final_demand_for_hot_water_coal_parent_share,0.077536629,Calculated from final energy consumption in households per application per carrier of EU27 dataset: https://doi.org/10.2908/NRG_D_HHQ
households_final_demand_coal_households_final_demand_for_space_heating_coal_parent_share,0.922463371,Calculated from final energy consumption in households per application per carrier of EU27 dataset: https://doi.org/10.2908/NRG_D_HHQ
households_final_demand_crude_oil_households_final_demand_for_hot_water_crude_oil_parent_share,0.157414186,Calculated from final energy consumption in households per application per carrier of EU27 dataset: https://doi.org/10.2908/NRG_D_HHQ
households_final_demand_crude_oil_households_final_demand_for_space_heating_crude_oil_parent_share,0.842585814,Calculated from final energy consumption in households per application per carrier of EU27 dataset: https://doi.org/10.2908/NRG_D_HHQ
households_final_demand_electricity_households_final_demand_for_appliances_electricity_parent_share,0.4314,"Data from Bundesamt fur Energie (BFE) publications from 2017: https://pubdb.bfe.admin.ch/de/suche?keywords=387, Tabelle 16 "
households_final_demand_electricity_households_final_demand_for_cooking_electricity_parent_share,0.075,"Data from Bundesamt fur Energie (BFE) publications from 2017: https://pubdb.bfe.admin.ch/de/suche?keywords=387, Tabelle 16 "
households_final_demand_electricity_households_final_demand_for_cooling_electricity_parent_share,0.0682,"Data from Bundesamt fur Energie (BFE) publications from 2017: https://pubdb.bfe.admin.ch/de/suche?keywords=387, Tabelle 16 "
households_final_demand_electricity_households_final_demand_for_hot_water_electricity_parent_share,0.1305,"Data from Bundesamt fur Energie (BFE) publications from 2017: https://pubdb.bfe.admin.ch/de/suche?keywords=387, Tabelle 16 "
households_final_demand_electricity_households_final_demand_for_lighting_electricity_parent_share,0.0724,"Data from Bundesamt fur Energie (BFE) publications from 2017: https://pubdb.bfe.admin.ch/de/suche?keywords=387, Tabelle 16 "
households_final_demand_electricity_households_final_demand_for_space_heating_electricity_parent_share,0.2225,"Data from Bundesamt fur Energie (BFE) publications from 2017: https://pubdb.bfe.admin.ch/de/suche?keywords=387, Tabelle 16 "
households_final_demand_for_appliances_electricity_households_appliances_clothes_dryer_electricity_parent_share,0.109333333,Derived from Suisse �nergie: https://www.suisseenergie.ch/stories/appareils-electriques-a-haute-efficacite-energetique/
households_final_demand_for_appliances_electricity_households_appliances_computer_media_electricity_parent_share,0.125714286,Derived from Suisse �nergie: https://www.suisseenergie.ch/stories/appareils-electriques-a-haute-efficacite-energetique/
households_final_demand_for_appliances_electricity_households_appliances_dishwasher_electricity_parent_share,0.095238095,Derived from Suisse �nergie: https://www.suisseenergie.ch/stories/appareils-electriques-a-haute-efficacite-energetique/
households_final_demand_for_appliances_electricity_households_appliances_fridge_freezer_electricity_parent_share,0.248380952,Derived from Suisse �nergie: https://www.suisseenergie.ch/stories/appareils-electriques-a-haute-efficacite-energetique/
households_final_demand_for_appliances_electricity_households_appliances_other_electricity_parent_share,0,Derived from Suisse �nergie: https://www.suisseenergie.ch/stories/appareils-electriques-a-haute-efficacite-energetique/
households_final_demand_for_appliances_electricity_households_appliances_television_electricity_parent_share,0.156190476,Derived from Suisse �nergie: https://www.suisseenergie.ch/stories/appareils-electriques-a-haute-efficacite-energetique/
households_final_demand_for_appliances_electricity_households_appliances_vacuum_cleaner_electricity_parent_share,0.145142857,Derived from Suisse �nergie: https://www.suisseenergie.ch/stories/appareils-electriques-a-haute-efficacite-energetique/
households_final_demand_for_appliances_electricity_households_appliances_washing_machine_electricity_parent_share,0.12,Derived from Suisse �nergie: https://www.suisseenergie.ch/stories/appareils-electriques-a-haute-efficacite-energetique/
households_final_demand_for_cooking_electricity_households_cooker_halogen_electricity_parent_share,0.71,Derived from EU dataset from annual POTEnCIA report on country energy consumption (2019) https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/POTEnCIA/Central_2018/
households_final_demand_for_cooking_electricity_households_cooker_induction_electricity_parent_share,0.19,Derived from EU dataset from annual POTEnCIA report on country energy consumption (2019) https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/POTEnCIA/Central_2018/
households_final_demand_for_cooking_electricity_households_cooker_resistive_electricity_parent_share,0.1,Derived from EU dataset from annual POTEnCIA report on country energy consumption (2019) https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/POTEnCIA/Central_2018/
households_final_demand_for_cooling_electricity_households_cooling_airconditioning_electricity_parent_share,0.98,Derived from EU dataset from annual POTEnCIA report on country energy consumption (2019) https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/POTEnCIA/Central_2018/
households_final_demand_for_cooling_electricity_households_cooling_heatpump_air_water_electricity_parent_share,0,Derived from EU dataset from annual POTEnCIA report on country energy consumption (2019) https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/POTEnCIA/Central_2018/
