utc_timestamp,cet_cest_timestamp,DK_solar_generation_actual
2015-12-31T23:00:00Z,2016-01-01T00:00:00+0100,0
2016-01-01T00:00:00Z,2016-01-01T01:00:00+0100,0
2016-01-01T01:00:00Z,2016-01-01T02:00:00+0100,0
2016-01-01T02:00:00Z,2016-01-01T03:00:00+0100,0
2016-01-01T03:00:00Z,2016-01-01T04:00:00+0100,0
2016-01-01T04:00:00Z,2016-01-01T05:00:00+0100,0
2016-01-01T05:00:00Z,2016-01-01T06:00:00+0100,0.01
2016-01-01T06:00:00Z,2016-01-01T07:00:00+0100,0.01
2016-01-01T07:00:00Z,2016-01-01T08:00:00+0100,0.06
2016-01-01T08:00:00Z,2016-01-01T09:00:00+0100,7.23
2016-01-01T09:00:00Z,2016-01-01T10:00:00+0100,33
2016-01-01T10:00:00Z,2016-01-01T11:00:00+0100,65.54
2016-01-01T11:00:00Z,2016-01-01T12:00:00+0100,80.16
2016-01-01T12:00:00Z,2016-01-01T13:00:00+0100,65.21
2016-01-01T13:00:00Z,2016-01-01T14:00:00+0100,34.05
2016-01-01T14:00:00Z,2016-01-01T15:00:00+0100,6.93
2016-01-01T15:00:00Z,2016-01-01T16:00:00+0100,0.02
2016-01-01T16:00:00Z,2016-01-01T17:00:00+0100,0
2016-01-01T17:00:00Z,2016-01-01T18:00:00+0100,0
2016-01-01T18:00:00Z,2016-01-01T19:00:00+0100,0.01
2016-01-01T19:00:00Z,2016-01-01T20:00:00+0100,0
2016-01-01T20:00:00Z,2016-01-01T21:00:00+0100,0
2016-01-01T21:00:00Z,2016-01-01T22:00:00+0100,0
2016-01-01T22:00:00Z,2016-01-01T23:00:00+0100,0
2016-01-01T23:00:00Z,2016-01-02T00:00:00+0100,0
2016-01-02T00:00:00Z,2016-01-02T01:00:00+0100,0
2016-01-02T01:00:00Z,2016-01-02T02:00:00+0100,0
2016-01-02T02:00:00Z,2016-01-02T03:00:00+0100,0
2016-01-02T03:00:00Z,2016-01-02T04:00:00+0100,0
2016-01-02T04:00:00Z,2016-01-02T05:00:00+0100,0
2016-01-02T05:00:00Z,2016-01-02T06:00:00+0100,0
2016-01-02T06:00:00Z,2016-01-02T07:00:00+0100,0
2016-01-02T07:00:00Z,2016-01-02T08:00:00+0100,0.02
2016-01-02T08:00:00Z,2016-01-02T09:00:00+0100,1.77
2016-01-02T09:00:00Z,2016-01-02T10:00:00+0100,7.64
2016-01-02T10:00:00Z,2016-01-02T11:00:00+0100,11.94
2016-01-02T11:00:00Z,2016-01-02T12:00:00+0100,14.46
2016-01-02T12:00:00Z,2016-01-02T13:00:00+0100,14.75
2016-01-02T13:00:00Z,2016-01-02T14:00:00+0100,10.77
2016-01-02T14:00:00Z,2016-01-02T15:00:00+0100,1.16
2016-01-02T15:00:00Z,2016-01-02T16:00:00+0100,0.02
2016-01-02T16:00:00Z,2016-01-02T17:00:00+0100,0
2016-01-02T17:00:00Z,2016-01-02T18:00:00+0100,0
2016-01-02T18:00:00Z,2016-01-02T19:00:00+0100,0
2016-01-02T19:00:00Z,2016-01-02T20:00:00+0100,0
2016-01-02T20:00:00Z,2016-01-02T21:00:00+0100,0
2016-01-02T21:00:00Z,2016-01-02T22:00:00+0100,0
